nbpts,z_h,Te
753,5.45E+10,2.34E+06
754,5.46E+10,2.34E+06
755,5.47E+10,2.34E+06
756,5.47E+10,2.34E+06
757,5.48E+10,2.34E+06
758,5.49E+10,2.34E+06
759,5.50E+10,2.34E+06
760,5.50E+10,2.34E+06
761,5.51E+10,2.34E+06
762,5.52E+10,2.34E+06
763,5.52E+10,2.34E+06
764,5.53E+10,2.34E+06
765,5.54E+10,2.34E+06
766,5.55E+10,2.34E+06
767,5.55E+10,2.34E+06
768,5.56E+10,2.34E+06
769,5.57E+10,2.34E+06
770,5.58E+10,2.34E+06
771,5.58E+10,2.34E+06
772,5.59E+10,2.34E+06
773,5.60E+10,2.34E+06
774,5.60E+10,2.34E+06
775,5.61E+10,2.34E+06
776,5.62E+10,2.34E+06
777,5.63E+10,2.34E+06
778,5.63E+10,2.34E+06
779,5.64E+10,2.34E+06
780,5.65E+10,2.34E+06
781,5.66E+10,2.34E+06
782,5.66E+10,2.34E+06
783,5.67E+10,2.34E+06
784,5.68E+10,2.34E+06
785,5.68E+10,2.34E+06
786,5.69E+10,2.34E+06
787,5.70E+10,2.34E+06
788,5.71E+10,2.34E+06
789,5.71E+10,2.34E+06
790,5.72E+10,2.34E+06
791,5.73E+10,2.34E+06
792,5.74E+10,2.34E+06
793,5.74E+10,2.34E+06
794,5.75E+10,2.34E+06
795,5.76E+10,2.34E+06
796,5.76E+10,2.34E+06
797,5.77E+10,2.34E+06
798,5.78E+10,2.34E+06
799,5.79E+10,2.34E+06
800,5.79E+10,2.34E+06
801,5.80E+10,2.34E+06
802,5.81E+10,2.34E+06
803,5.81E+10,2.34E+06
804,5.82E+10,2.34E+06
805,5.83E+10,2.34E+06
806,5.84E+10,2.34E+06
807,5.84E+10,2.34E+06
808,5.85E+10,2.34E+06
809,5.86E+10,2.34E+06
810,5.87E+10,2.34E+06
811,5.87E+10,2.34E+06
812,5.88E+10,2.34E+06
813,5.89E+10,2.34E+06
814,5.89E+10,2.34E+06
815,5.90E+10,2.34E+06
816,5.91E+10,2.34E+06
817,5.92E+10,2.34E+06
818,5.92E+10,2.34E+06
819,5.93E+10,2.34E+06
820,5.94E+10,2.34E+06
821,5.95E+10,2.34E+06
822,5.95E+10,2.34E+06
823,5.96E+10,2.34E+06
824,5.97E+10,2.34E+06
825,5.97E+10,2.34E+06
826,5.98E+10,2.34E+06
827,5.99E+10,2.34E+06
828,6.00E+10,2.34E+06
829,6.00E+10,2.34E+06
830,6.01E+10,2.34E+06
831,6.02E+10,2.34E+06
832,6.03E+10,2.34E+06
833,6.03E+10,2.34E+06
834,6.04E+10,2.34E+06
835,6.05E+10,2.34E+06
836,6.05E+10,2.34E+06
837,6.06E+10,2.34E+06
838,6.07E+10,2.34E+06
839,6.08E+10,2.34E+06
840,6.08E+10,2.34E+06
841,6.09E+10,2.34E+06
842,6.10E+10,2.34E+06
