nbpts,z_h,Te
990,71705000000,2348400
991,71777000000,2348400
992,71850000000,2348400
993,71922000000,2348500
994,71995000000,2348500
995,72067000000,2348500
996,72140000000,2348500
997,72212000000,2348600
998,72285000000,2348600
999,72357000000,2348600
1000,72430000000,2348700
1001,72503000000,2348700
1002,72575000000,2348700
1003,72648000000,2348700
1004,72720000000,2348800
1005,72793000000,2348800
1006,72865000000,2348800
1007,72938000000,2348800
1008,73010000000,2348900
1009,73083000000,2348900
1010,73155000000,2348900
1011,73228000000,2348900
1012,73300000000,2349000
1013,73373000000,2349000
1014,73445000000,2349000
1015,73518000000,2349000
1016,73590000000,2349100
1017,73663000000,2349100
1018,73735000000,2349100
1019,73808000000,2349100
1020,73880000000,2349200
1021,73953000000,2349200
1022,74025000000,2349200
1023,74098000000,2349200
1024,74170000000,2349300
1025,74243000000,2349300
1026,74315000000,2349300
1027,74388000000,2349300
1028,74460000000,2349400
1029,74533000000,2349400
1030,74605000000,2349400
1031,74678000000,2349400
1032,74750000000,2349500
1033,74823000000,2349500
1034,74895000000,2349500
1035,74968000000,2349500
1036,75040000000,2349600
1037,75113000000,2349600
1038,75185000000,2349600
1039,75258000000,2349600
1040,75330000000,2349700
1041,75403000000,2349700
1042,75475000000,2349700
1043,75548000000,2349700
1044,75620000000,2349800
1045,75693000000,2349800
1046,75765000000,2349800
1047,75838000000,2349800
1048,75910000000,2349900
1049,75983000000,2349900
1050,76055000000,2349900
1051,76128000000,2349900
1052,76201000000,2350000
1053,76273000000,2350000
1054,76346000000,2350000
1055,76418000000,2350000
1056,76491000000,2350100
1057,76563000000,2350100
1058,76636000000,2350100
1059,76708000000,2350100
1060,76781000000,2350100
1061,76853000000,2350100
1062,76926000000,2350200
1063,76998000000,2350200
1064,77071000000,2350200
1065,77143000000,2350200
1066,77216000000,2350200
1067,77288000000,2350300
1068,77361000000,2350300
1069,77433000000,2350300
1070,77506000000,2350300
1071,77578000000,2350300
1072,77651000000,2350400
1073,77723000000,2350400
1074,77796000000,2350400
1075,77868000000,2350400
1076,77941000000,2350400
1077,78013000000,2350500
1078,78086000000,2350500
1079,78158000000,2350500
1080,78231000000,2350500
1081,78303000000,2350500
1082,78376000000,2350600
1083,78448000000,2350600
1084,78521000000,2350600
1085,78593000000,2350600
1086,78666000000,2350600
1087,78738000000,2350600
1088,78811000000,2350700
1089,78883000000,2350700
1090,78956000000,2350700
1091,79028000000,2350700
1092,79101000000,2350700
1093,79173000000,2350800
1094,79246000000,2350800
1095,79318000000,2350800
1096,79391000000,2350800
1097,79463000000,2350800
1098,79536000000,2350900
1099,79608000000,2350900
1100,79681000000,2350900
1101,79754000000,2350900
1102,79826000000,2350900
1103,79899000000,2351000
1104,79971000000,2351000
1105,80044000000,2351000
1106,80116000000,2351000
1107,80189000000,2351000
1108,80261000000,2351100
1109,80334000000,2351100
1110,80406000000,2351100
1111,80479000000,2351100
1112,80551000000,2351100
1113,80624000000,2351100
1114,80696000000,2351200
1115,80769000000,2351200
1116,80841000000,2351200
1117,80914000000,2351200
1118,80986000000,2351200
1119,81059000000,2351300
1120,81131000000,2351300
1121,81204000000,2351300
1122,81276000000,2351300
1123,81349000000,2351300
1124,81421000000,2351400
1125,81494000000,2351400
1126,81566000000,2351400
1127,81639000000,2351400
1128,81711000000,2351400
1129,81784000000,2351500
1130,81856000000,2351500
1131,81929000000,2351500
1132,82001000000,2351500
1133,82074000000,2351500
1134,82146000000,2351600
1135,82219000000,2351600
1136,82291000000,2351600
1137,82364000000,2351600
1138,82436000000,2351600
1139,82509000000,2351600
1140,82581000000,2351700
1141,82654000000,2351700
1142,82726000000,2351700
1143,82799000000,2351700
1144,82871000000,2351700
1145,82944000000,2351800
1146,83016000000,2351800
1147,83089000000,2351800
1148,83161000000,2351800
1149,83234000000,2351800
1150,83306000000,2351900
1151,83379000000,2351900
1152,83452000000,2351900
1153,83524000000,2351900
1154,83597000000,2351900
1155,83669000000,2352000
1156,83742000000,2352000
1157,83814000000,2352000
1158,83887000000,2352000
1159,83959000000,2352000
1160,84032000000,2352100
1161,84104000000,2352100
1162,84177000000,2352100
1163,84249000000,2352100
1164,84322000000,2352100
1165,84394000000,2352100
1166,84467000000,2352200
1167,84539000000,2352200
1168,84612000000,2352200
1169,84684000000,2352200
1170,84757000000,2352200
1171,84829000000,2352300
1172,84902000000,2352300
1173,84974000000,2352300
1174,85047000000,2352300
1175,85119000000,2352300
1176,85192000000,2352400
1177,85264000000,2352400
1178,85337000000,2352400
1179,85409000000,2352400
1180,85482000000,2352400
1181,85554000000,2352500
1182,85627000000,2352500
1183,85699000000,2352500
1184,85772000000,2352500
1185,85844000000,2352500
1186,85917000000,2352600
1187,85989000000,2352600
1188,86062000000,2352600
1189,86134000000,2352600
1190,86207000000,2352600
1191,86279000000,2352600
1192,86352000000,2352700
1193,86424000000,2352700
1194,86497000000,2352700
1195,86569000000,2352700
1196,86642000000,2352700
1197,86714000000,2352800
1198,86787000000,2352800
1199,86859000000,2352800
1200,86932000000,2352800
1201,87005000000,2352800
1202,87077000000,2352900
1203,87150000000,2352900
1204,87222000000,2352900
